Website,Public-Facing,Canonical List
bja.ojp.gov,Yes,Yes
bjapmt.ojp.gov,No,Yes
bjatta.bja.ojp.gov,Yes,Yes
bjs.ojp.gov,Yes,Yes
bl1231.als.lbl.gov,Yes,Yes
bl831.als.lbl.gov,Yes,Yes
blackfeet.nsopw.gov,Yes,Yes
blackmarble.gsfc.nasa.gov,Yes,Yes
blast.lbl.gov,Yes,Yes
blast.ncbi.nlm.nih.gov,Yes,Yes
bli5.lbl.gov,Yes,Yes
blm.sciencebase.gov,Yes,Yes
blm.usajobs.gov,Yes,Yes
blmsolar.anl.gov,Yes,Yes
blmwyomingvisual.anl.gov,Yes,Yes
blocked.aps.anl.gov,No,Yes
blog-nrrd.doi.gov,Yes,Yes
blog.dol.gov,Yes,Yes
blog.ninds.nih.gov,Yes,Yes
blog.ssa.gov,Yes,Yes
blog.usa.gov,Yes,Yes
blog.usaid.gov,No,Yes
blogs.anl.gov,No,Yes
blogs.cdc.gov,Yes,Yes
blogs.nasa.gov,Yes,Yes
blsa.nih.gov,Yes,Yes
blscompdata.bls.gov,Yes,Yes
blscompdataorigin1.bls.gov,No,Yes
blscompdatat.bls.gov,No,Yes
blsconfidentialitytraining.bls.gov,No,Yes
blsconfidentialitytrainingorigin1.bls.gov,No,Yes
blsconfidentialitytrainingt.bls.gov,No,Yes
blsmon1.bls.gov,No,Yes
bluebutton.cms.gov,Yes,Yes
blueice.gsfc.nasa.gov,Yes,Yes
blueridge.jobcorps.gov,Yes,Yes
bmr.lbl.gov,Yes,Yes
bnlbox.sdcc.bnl.gov,No,Yes
bocachica.arc.nasa.gov,Yes,Yes
bocc.pnnl.gov,Yes,Yes
boiefiling.fincen.gov,Yes,Yes
boisforte.nsopw.gov,Yes,Yes
bomgar.bop.gov,No,Yes
bomgar.cfpb.gov,No,Yes
bomgar.pppl.gov,Yes,Yes
bonnie-qdm.healthit.gov,No,Yes
bonnie.healthit.gov,Yes,Yes
bose.jpl.nasa.gov,Yes,Yes
boss2013.lbl.gov,Yes,Yes
boss2014.lbl.gov,Yes,Yes
bosshog.lbl.gov,Yes,Yes
botdb.abcc.ncifcrf.gov,Yes,Yes
bpd.lbl.gov,Yes,Yes
bphc.hrsa.gov,Yes,Yes
bplat.pnnl.gov,Yes,Yes
bptwai.fms.treas.gov,No,Yes
bqs.usgs.gov,Yes,Yes
brachypodium.pw.usda.gov,No,Yes
brads.nichd.nih.gov,No,Yes
braindevelopment.ctss.nih.gov,No,Yes
braininitiative.nih.gov,Yes,Yes
brand.18f.gov,Yes,Yes
brb.nci.nih.gov,Yes,Yes
brd.nci.nih.gov,Yes,Yes
brics.cit.nih.gov,Yes,Yes
brics.nei.nih.gov,No,Yes
bricsguid.nia.nih.gov,No,Yes
bricsguid.ninds.nih.gov,No,Yes
bridgmodel.nci.nih.gov,Yes,Yes
broadbandsearch.cert.sc.egov.usda.gov,No,Yes
broadbandsearch.sc.egov.usda.gov,No,Yes
browserras.jpl.nasa.gov,No,Yes
brrc.research.va.gov,Yes,Yes
bsa.fincen.gov,No,Yes
bsa.ornl.gov,Yes,Yes
bsaefiling.fincen.treas.gov,Yes,Yes
bsaefiling1.fincen.treas.gov,Yes,Yes
bsc.irp.nia.nih.gov,No,Yes
bsc.nidcd.nih.gov,No,Yes
bscdev.nidcd.nih.gov,No,Yes
bse.pnl.gov,No,Yes
bsesc.energy.gov,Yes,Yes
bsisb.lbl.gov,Yes,Yes
bsm.nrel.gov,Yes,Yes
bsve.dhs.gov,Yes,Yes
btcomp.dol.gov,Yes,Yes
btris.nih.gov,Yes,Yes
bucvpn.occ.gov,Yes,Yes
buildingdata.energy.gov,Yes,Yes
buildingenergyscore.energy.gov,Yes,Yes
buildingretuning.pnnl.gov,Yes,Yes
buildings.lbl.gov,Yes,Yes
buildingsystems.pnnl.gov,No,Yes
