initial_domain,reason
changeofaddress.gov,all scans failed dns resolution for 6 months in a row
toolkit.childwelfare.gov,all scans failed dns resolution for 6 months in a row
chinacommission.gov,all scans failed dns resolution for 6 months in a row
foia.cia.gov,all scans failed dns resolution for 6 months in a row
cigie.gov,all scans failed dns resolution for 6 months in a row
a130.cio.gov,all scans failed dns resolution for 6 months in a row
bsp.cio.gov,all scans failed dns resolution for 6 months in a row
ciouniversity.cio.gov,all scans failed dns resolution for 6 months in a row
datacenters.cio.gov,all scans failed dns resolution for 6 months in a row
fips201ep.cio.gov,all scans failed dns resolution for 6 months in a row
itmodernization.cio.gov,all scans failed dns resolution for 6 months in a row
itsymposium.cio.gov,all scans failed dns resolution for 6 months in a row
legacy.cio.gov,all scans failed dns resolution for 6 months in a row
management.cio.gov,all scans failed dns resolution for 6 months in a row
mobile.cio.gov,all scans failed dns resolution for 6 months in a row
policy.cio.gov,all scans failed dns resolution for 6 months in a row
pulse.cio.gov,all scans failed dns resolution for 6 months in a row
search.cloud.cio.gov,all scans failed dns resolution for 6 months in a row
software.cio.gov,all scans failed dns resolution for 6 months in a row
sourcecode.cio.gov,all scans failed dns resolution for 6 months in a row
surveyit2004.cio.gov,all scans failed dns resolution for 6 months in a row
surveyit.cio.gov,all scans failed dns resolution for 6 months in a row
civilrightsusa.gov,all scans failed dns resolution for 6 months in a row
cde.ppd.ucr.cjis.gov,all scans failed dns resolution for 6 months in a row
cn324.mdm.cjis.gov,all scans failed dns resolution for 6 months in a row
ds324.mdm.cjis.gov,all scans failed dns resolution for 6 months in a row
fbibiospecs.cjis.gov,all scans failed dns resolution for 6 months in a row
ildwat.cjis.gov,all scans failed dns resolution for 6 months in a row
prev.uof.cjis.gov,all scans failed dns resolution for 6 months in a row
qcp.ras.cjis.gov,all scans failed dns resolution for 6 months in a row
uof.cjis.gov,all scans failed dns resolution for 6 months in a row
clinicaltrial.gov,all scans failed dns resolution for 6 months in a row
docs.cloud.gov,all scans failed dns resolution for 6 months in a row
acocahps.cms.gov,all scans failed dns resolution for 6 months in a row
app.launchdarkly.cms.gov,all scans failed dns resolution for 6 months in a row
aps.portal-beta.cms.gov,all scans failed dns resolution for 6 months in a row
aps.portaldev-beta.cms.gov,all scans failed dns resolution for 6 months in a row
aps.portalval-beta.cms.gov,all scans failed dns resolution for 6 months in a row
blueaz1.portal.cms.gov,all scans failed dns resolution for 6 months in a row
blueaz1.portalval.cms.gov,all scans failed dns resolution for 6 months in a row
blueaz2.portal.cms.gov,all scans failed dns resolution for 6 months in a row
blueaz2.portalval.cms.gov,all scans failed dns resolution for 6 months in a row
blueaz3.portal.cms.gov,all scans failed dns resolution for 6 months in a row
blueaz3.portalval.cms.gov,all scans failed dns resolution for 6 months in a row
cartsval.cms.gov,all scans failed dns resolution for 6 months in a row
cerrs-cc.cms.gov,all scans failed dns resolution for 6 months in a row
cerrs.cms.gov,all scans failed dns resolution for 6 months in a row
cerrs-ee.cms.gov,all scans failed dns resolution for 6 months in a row
cerrsngimpl.cerrs.cms.gov,all scans failed dns resolution for 6 months in a row
cerrsngprod.cerrs.cms.gov,all scans failed dns resolution for 6 months in a row
certauth.cmsonline.cms.gov,all scans failed dns resolution for 6 months in a row
cmitmms.cms.gov,all scans failed dns resolution for 6 months in a row
cmsportaledc1.cms.gov,all scans failed dns resolution for 6 months in a row
dnav.cms.gov,all scans failed dns resolution for 6 months in a row
docs.impl.developer.cms.gov,all scans failed dns resolution for 6 months in a row
eap.cms.gov,all scans failed dns resolution for 6 months in a row
eap.imp.cms.gov,all scans failed dns resolution for 6 months in a row
ehrincentives.cms.gov,all scans failed dns resolution for 6 months in a row
eidm.cms.gov,all scans failed dns resolution for 6 months in a row
eidmhpd2.cms.gov,all scans failed dns resolution for 6 months in a row
eidmhpi1.cms.gov,all scans failed dns resolution for 6 months in a row
eidmhpt.cms.gov,all scans failed dns resolution for 6 months in a row
eidmi.cms.gov,all scans failed dns resolution for 6 months in a row
events.launchdarkly.cms.gov,all scans failed dns resolution for 6 months in a row
fm-impl1b.insuranceoversight.cms.gov,all scans failed dns resolution for 6 months in a row
imp.app.launchdarkly.cms.gov,all scans failed dns resolution for 6 months in a row
imp.cerrs-cc.cms.gov,all scans failed dns resolution for 6 months in a row
imp.cerrs.cms.gov,all scans failed dns resolution for 6 months in a row
imp.cerrs-edt.cms.gov,all scans failed dns resolution for 6 months in a row
imp.cerrs-ee.cms.gov,all scans failed dns resolution for 6 months in a row
imp.cerrs-sp.cms.gov,all scans failed dns resolution for 6 months in a row
imp.cerrs-sts.cms.gov,all scans failed dns resolution for 6 months in a row
imp.cerrs-tb.cms.gov,all scans failed dns resolution for 6 months in a row
imp.dnav.cms.gov,all scans failed dns resolution for 6 months in a row
imp.events.launchdarkly.cms.gov,all scans failed dns resolution for 6 months in a row
impl.cerrs-mcr.cms.gov,all scans failed dns resolution for 6 months in a row
impl.eft.cloud.cms.gov,all scans failed dns resolution for 6 months in a row
impl-green.ops.internal.cms.gov,all scans failed dns resolution for 6 months in a row
impl.ops.internal.cms.gov,all scans failed dns resolution for 6 months in a row
imp.stream.launchdarkly.cms.gov,all scans failed dns resolution for 6 months in a row
macprotest.cms.gov,all scans failed dns resolution for 6 months in a row
macprotrn.cms.gov,all scans failed dns resolution for 6 months in a row
maps.cms.gov,all scans failed dns resolution for 6 months in a row
maps.imp.cms.gov,all scans failed dns resolution for 6 months in a row
ns.cms.gov,all scans failed dns resolution for 6 months in a row
pecosai.portal-beta.cms.gov,all scans failed dns resolution for 6 months in a row
pecosai.portaldev-beta.cms.gov,all scans failed dns resolution for 6 months in a row
pecosai.portalval-beta.cms.gov,all scans failed dns resolution for 6 months in a row
pm-impl1a.insuranceoversight.cms.gov,all scans failed dns resolution for 6 months in a row
pm-test0.insuranceoversight.cms.gov,all scans failed dns resolution for 6 months in a row
pm-test1.insuranceoversight.cms.gov,all scans failed dns resolution for 6 months in a row
questions.cms.gov,all scans failed dns resolution for 6 months in a row
rbis.cms.gov,all scans failed dns resolution for 6 months in a row
rbistest.cms.gov,all scans failed dns resolution for 6 months in a row
rbisval.cms.gov,all scans failed dns resolution for 6 months in a row
stream.launchdarkly.cms.gov,all scans failed dns resolution for 6 months in a row
cncs.gov,all scans failed dns resolution for 6 months in a row
cns.gov,all scans failed dns resolution for 6 months in a row
drvpn.cns.gov,all scans failed dns resolution for 6 months in a row
developers.code.gov,all scans failed dns resolution for 6 months in a row
ak-docdrupal8-632-commerce8.d.commerce.gov,all scans failed dns resolution for 6 months in a row
arun-docdrupal8-604-commerce8.d.commerce.gov,all scans failed dns resolution for 6 months in a row
arun-docdrupal8-644-commerce8.d.commerce.gov,all scans failed dns resolution for 6 months in a row
arun-docdrupal8-646-commerce8.d.commerce.gov,all scans failed dns resolution for 6 months in a row
arun-docdrupal8-701-commerce8.d.commerce.gov,all scans failed dns resolution for 6 months in a row
dave-docdrupal8-602-commerce8.d.commerce.gov,all scans failed dns resolution for 6 months in a row
dave-docdrupal8-637-commerce8.d.commerce.gov,all scans failed dns resolution for 6 months in a row
docwebta.eas.commerce.gov,all scans failed dns resolution for 6 months in a row
eda-196.d.commerce.gov,all scans failed dns resolution for 6 months in a row
eda.d.commerce.gov,all scans failed dns resolution for 6 months in a row
maxcas.commerce.gov,all scans failed dns resolution for 6 months in a row
ocio.commerce.gov,all scans failed dns resolution for 6 months in a row
ogc.commerce.gov,all scans failed dns resolution for 6 months in a row
selectusa.commerce.gov,all scans failed dns resolution for 6 months in a row
sriram-backupfailure-cleanup-mbda7.d.commerce.gov,all scans failed dns resolution for 6 months in a row
content.consumerfinance.gov,all scans failed dns resolution for 6 months in a row
exam.consumerfinance.gov,all scans failed dns resolution for 6 months in a row
cloudbeta.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
clu.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
crckb.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
dr-csntwilio.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
gpen.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
help.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
issuetracker.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
login.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
mailprocess.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
tutorial.consumersentinel.gov,all scans failed dns resolution for 6 months in a row
copyrightclaimsboard.gov,all scans failed dns resolution for 6 months in a row
faq.coronavirus.gov,all scans failed dns resolution for 6 months in a row
access2.cpsc.gov,all scans failed dns resolution for 6 months in a row
beta.cpsc.gov,all scans failed dns resolution for 6 months in a row
cliff-5rp.cpsc.gov,all scans failed dns resolution for 6 months in a row
mobile.cpsc.gov,all scans failed dns resolution for 6 months in a row
newman.cpsc.gov,all scans failed dns resolution for 6 months in a row
services.crimesolutions.gov,all scans failed dns resolution for 6 months in a row
hermes.cshib.csb.gov,all scans failed dns resolution for 6 months in a row
mercury2.cshib.csb.gov,all scans failed dns resolution for 6 months in a row
webta.csb.gov,all scans failed dns resolution for 6 months in a row
cma.csosa.gov,all scans failed dns resolution for 6 months in a row
gps.csosa.gov,all scans failed dns resolution for 6 months in a row
meeting.csosa.gov,all scans failed dns resolution for 6 months in a row
voltage-pp-0000.csosa.gov,all scans failed dns resolution for 6 months in a row
voltage-ps-0000.csosa.gov,all scans failed dns resolution for 6 months in a row
csusop.gov,all scans failed dns resolution for 6 months in a row
coop.vpn.cttso.gov,all scans failed dns resolution for 6 months in a row
linc.cttso.gov,all scans failed dns resolution for 6 months in a row
mc.vpn.cttso.gov,all scans failed dns resolution for 6 months in a row
test0.ee.cuidadodesalud.gov,all scans failed dns resolution for 6 months in a row
test0.eeshop.cuidadodesalud.gov,all scans failed dns resolution for 6 months in a row
test1.ee.cuidadodesalud.gov,all scans failed dns resolution for 6 months in a row
aapi.data.gov,all scans failed dns resolution for 6 months in a row
admin-catalog.data.gov,all scans failed dns resolution for 6 months in a row
ag.data.gov,all scans failed dns resolution for 6 months in a row
agriculture.data.gov,all scans failed dns resolution for 6 months in a row
businessusa.data.gov,all scans failed dns resolution for 6 months in a row
catalog-bsp.data.gov,all scans failed dns resolution for 6 months in a row
catalog-next.data.gov,all scans failed dns resolution for 6 months in a row
cities.data.gov,all scans failed dns resolution for 6 months in a row
consumer.data.gov,all scans failed dns resolution for 6 months in a row
consumers.data.gov,all scans failed dns resolution for 6 months in a row
counties.data.gov,all scans failed dns resolution for 6 months in a row
dashboard-labs.data.gov,all scans failed dns resolution for 6 months in a row
developer.data.gov,all scans failed dns resolution for 6 months in a row
disaster.data.gov,all scans failed dns resolution for 6 months in a row
disasters.data.gov,all scans failed dns resolution for 6 months in a row
ecosystems.data.gov,all scans failed dns resolution for 6 months in a row
ed.data.gov,all scans failed dns resolution for 6 months in a row
education.data.gov,all scans failed dns resolution for 6 months in a row
energy.data.gov,all scans failed dns resolution for 6 months in a row
